enrollment_id,student_id,school_id,grade_level,enrollment_date,status,guardian_contact,previous_school,special_needs,notes
1,19809,71,1,2021-12-14,Active,+1-616-852-6906x541,West-Blevins,suffer,Get yet doctor attorney describe.
2,16520,43,6,2023-05-15,Active,001-792-779-4525x530,Mills Group,to,Nature down head run.
3,3744,70,5,2020-06-14,Active,489.275.5158x679,Davis-Jackson,place,Trip respond room direction hear list forward.
4,16579,22,8,2021-08-02,Active,903.280.6289x58835,"Andrews, Harvey and Lang",wall,Great camera view far democratic note matter.
5,352,4,5,2023-04-14,Active,772.319.7997,Nguyen Group,indeed,Scientist develop program tell close.
6,16600,87,3,2022-09-26,Active,(918)215-7747,Robbins LLC,difference,Claim onto result relationship black.
7,923,12,3,2022-05-14,Active,249-699-4905x4654,Johnson LLC,off,Suggest like lot thousand.
8,9246,46,7,2024-02-20,Active,001-466-750-6229x496,"Mckinney, Alvarez and Tate",again,Reality center strong.
9,14486,28,9,2025-01-16,Inactive,348-471-4461,Bailey-Gonzalez,despite,Instead amount law organization score.
10,9483,12,6,2024-05-02,Active,9527287945,"Stewart, Bray and Smith",maybe,Fact happy at trial life free section.
11,19136,20,6,2024-03-20,Active,001-379-225-8552x670,Hoover and Sons,early,Floor hot standard toward affect country three.
12,840,96,4,2020-09-02,Active,953-788-6816x7727,"Johnson, Smith and Phillips",conference,Early deal anyone expert.
13,1189,27,2,2023-10-22,Active,001-868-740-1282,Norris LLC,choice,Moment argue start wife only film adult.
14,7694,33,4,2021-07-26,Inactive,(315)666-6953x8782,"Hall, Freeman and Beck",table,Many mean check doctor.
15,1225,25,6,2022-07-16,Active,(923)874-0492x230,Berger Inc,light,Send detail himself.
16,12812,36,1,2023-07-25,Active,(547)258-1183x2626,Erickson Group,soldier,Use wall hold.
17,14555,52,5,2020-09-19,Inactive,770.722.2204x133,"Sutton, Williams and Baker",reduce,Watch evening dark.
18,13784,61,6,2024-06-10,Active,001-472-640-3459x86601,"Thomas, Boyd and Rogers",order,Economy after fund hotel.
19,19830,75,7,2024-05-20,Active,+1-794-537-6680,Campbell-Hancock,perhaps,Nice rise million choice city partner gun.
20,14603,48,9,2023-11-07,Inactive,(504)738-0318,Williams-Hernandez,peace,Cost top article quality.
21,4849,80,12,2022-09-30,Inactive,717-280-7487x1470,"Erickson, Gill and Johnson",community,Somebody sell coach heavy product fill daughter.
22,15627,17,10,2020-08-08,Active,238-594-0680x914,Olsen Group,two,Deep act action sit.
23,2724,74,3,2022-07-02,Active,208-545-6800x368,"Williams, Jones and Lamb",provide,Probably sing soon development hand.
24,16791,17,6,2021-06-21,Active,+1-393-941-7660,Wood LLC,whatever,Usually paper national.
25,15076,32,5,2024-06-14,Inactive,(616)240-7515x564,Torres and Sons,hand,Artist public PM drop.
26,6888,63,8,2024-02-11,Active,001-921-734-6011,Mcdonald Inc,your,Attorney fish according smile camera hit.
27,15574,14,8,2024-06-16,Inactive,824.602.3508x4695,Herrera Ltd,prepare,Car middle floor thank meeting least laugh.
28,11405,76,6,2022-03-14,Inactive,238-481-7433x93982,"Rodriguez, Brown and Mccormick",fall,Its he social.
29,16254,91,6,2024-01-24,Inactive,+1-907-823-5374,"Mitchell, Sanchez and Walsh",under,Also system method keep.
30,10697,88,2,2020-11-11,Inactive,(797)693-3415,Butler and Sons,up,Candidate under process soon.
31,6230,68,10,2020-02-09,Active,2972967845,"Travis, Hood and Wong",case,Arrive vote major wall see west fill.
32,18153,100,6,2024-05-07,Active,+1-683-250-2960x496,"Walter, Harris and Smith",center,Husband behind plant author until lay.
33,2369,7,2,2023-05-01,Active,(606)648-5861,Obrien-Myers,center,Chance not protect cover different happen.
34,16688,82,4,2022-06-29,Active,226-686-6411x57086,Knox-Brooks,describe,Since final term drug serve.
35,6247,12,10,2021-01-13,Active,863-840-7094x0922,"Snyder, Clay and Miller",very,Free send voice nor dark.
36,3064,14,9,2020-04-16,Active,(508)913-0936x18245,"Collier, Simpson and Parker",through,Top eat foot tend.
37,6470,69,10,2023-11-17,Active,(753)528-6466x5794,Nielsen Ltd,require,Allow method people particularly between young.
38,10967,58,3,2021-02-09,Active,372-775-7900x777,"Ferguson, Robinson and Moore",wish,Those eye prevent enough clear.
39,5172,16,1,2020-06-03,Inactive,(508)509-9246,"Gallegos, Phillips and Shea",because,Send very work fire behavior child.
40,7400,33,7,2025-01-11,Inactive,(539)749-0629,Gomez-Berry,bar,Art thus low enough laugh position old.
41,19182,85,2,2020-04-17,Active,598-488-5328x303,Alexander-Taylor,determine,Tonight year ten fall upon town.
42,6463,37,2,2020-12-14,Inactive,+1-366-253-9146,Webb-Wilson,million,Single director population tough meet.
43,14480,92,7,2022-02-15,Inactive,928.890.2037x5480,Lane-Spence,prepare,Free fear drive.
44,17324,78,4,2024-05-02,Active,(819)389-6905,Gonzalez and Sons,white,Unit tree sense probably week house.
45,9601,91,1,2025-01-29,Inactive,001-807-233-1262x009,White-Odonnell,third,Yard war option according.
46,10075,70,6,2024-05-09,Inactive,+1-305-643-9042x135,Morse-Mullins,option,Draw approach leg plan west.
47,19486,71,6,2023-02-02,Active,669.900.8972,"Robertson, Morgan and Allen",cell,Force hair beat.
48,4038,64,1,2024-11-16,Active,303.513.5100x033,"Garcia, Ramos and Johnson",skin,Place cup concern.
49,8156,34,7,2022-08-08,Inactive,(662)825-3044x9789,Ross PLC,history,Man beyond key part exist relationship professor.
50,4814,90,3,2023-06-30,Inactive,735.602.0233,Cook PLC,prepare,Enter hundred represent glass understand always.
51,3491,61,8,2020-03-06,Active,(489)685-8131x9629,"Day, Mann and Morris",last,School candidate site as speech machine election.
52,6939,1,10,2020-07-31,Active,225-781-3620,"Jones, Bentley and Miller",nice,Until reveal in.
53,483,33,8,2022-04-05,Inactive,6455899585,Douglas-Brown,record,Door employee industry himself.
