notification_id,student_id,type,message,created_at,status,recipient_contact,sent_by,school_id,priority
1,19736,SMS,Future child establish should training.,2024-03-28 23:19:45,Pending,688-516-6691x040,Michael Schmidt,25,Medium
2,5096,Push,Hear author theory inside.,2024-12-07 04:08:40,Failed,001-933-939-4693x72309,Jorge Rhodes,19,High
3,5325,Push,Administration to who run.,2024-12-10 13:55:56,Pending,(832)245-6633,Joseph Gonzalez Jr.,89,Low
4,15074,Push,Race far significant every rest song.,2024-04-16 13:38:36,Sent,001-830-627-5010,Kimberly Ortega,25,Medium
5,11002,SMS,Theory think most particularly between must they.,2024-10-09 09:40:28,Pending,+1-939-281-2091,James Smith,69,Low
6,17348,SMS,Ready attention successful day.,2024-11-17 01:18:54,Pending,001-310-618-3080,Stephanie White,14,High
7,5757,Email,Common rock generation total think skin.,2024-03-15 11:26:23,Pending,417-439-1075,Tammy Joseph,66,High
8,7050,SMS,Information world data reveal leg get according.,2024-06-16 01:31:04,Pending,001-928-675-4346x142,Karen Daniels,5,Medium
9,10647,Push,Level and happy detail marriage once.,2024-03-08 09:56:48,Sent,001-979-507-9593,Daniel Rose,61,High
10,2098,SMS,Likely begin even chair middle.,2024-06-26 15:06:00,Pending,(653)343-1259x4743,Rhonda Good,76,Medium
11,517,Email,Customer policy night understand free they sing ball.,2025-01-01 08:24:52,Failed,737.806.4483x15786,Victoria Powell,90,Low
12,11715,Email,Specific share admit center.,2024-05-29 12:07:58,Sent,250.238.6092x940,Sue Taylor,86,High
13,8949,SMS,Believe unit fish.,2024-03-31 05:42:42,Sent,6769564880,Ashley Marks,14,High
14,19720,Email,Prove your yes generation military character local teacher.,2024-07-16 05:11:00,Failed,001-836-367-6115x15556,Brenda Lyons,41,Medium
15,1247,Email,Certain can include series trip cost young.,2024-08-21 08:53:12,Pending,756.950.5638,Janet Adams,7,Medium
16,14979,Push,On professor south moment.,2024-02-27 13:47:05,Sent,747.568.1231x711,Michele Collins,34,Medium
17,6315,Email,Occur subject above seven TV cause.,2024-11-05 02:38:56,Pending,001-769-678-7369x60565,Dawn Henson,98,High
18,13763,SMS,Benefit practice true real attorney mother mother.,2024-09-10 09:05:44,Sent,669-815-5917,Matthew Henry,48,Low
19,11185,Push,About cup room example ability protect these.,2024-08-06 01:31:09,Failed,001-751-773-3044x410,Joshua Scott,58,Medium
20,7654,SMS,Interest matter religious.,2024-06-21 19:54:19,Failed,220.799.2152,James Thompson,80,Medium
21,18907,Push,Five order law group center.,2024-09-17 16:05:04,Pending,272.315.5994x1096,Bailey Brown,16,High
22,7685,Email,Begin rock where at.,2024-09-06 01:35:40,Failed,+1-394-307-8720x82838,Katie Miller,50,High
23,476,Email,Of look oil that continue seven common physical.,2024-04-15 06:21:27,Pending,371-316-2129x222,Elizabeth Patel,33,Medium
24,11515,SMS,Pass order claim most star blue.,2024-11-15 20:59:33,Failed,673-492-7956x17068,Mary Martinez,69,Medium
25,7303,Email,Want great discuss address without so test you.,2024-10-03 12:13:42,Pending,(968)926-2117x85639,Brandon Madden,32,Low
26,17948,SMS,Clearly benefit discover business crime finish establish but.,2024-09-11 14:47:56,Sent,2818177574,Lindsay Diaz,76,High
27,2947,Email,Miss which result speech along them sort.,2024-04-20 16:44:28,Failed,(974)268-4049x334,Abigail Swanson,48,Low
28,6945,Push,During which which race.,2024-11-29 01:47:42,Pending,562-565-9328x2824,James Alvarez,73,Low
29,7781,SMS,Way rich memory.,2024-10-26 07:33:23,Pending,643-431-1294x825,Stacey Chan,51,High
30,11619,SMS,Lawyer early population follow remain daughter.,2024-09-14 23:52:59,Pending,(728)561-1131,James Young,10,Low
31,9035,Push,Risk free personal cold book.,2024-04-27 18:12:40,Pending,501-821-2133x5289,Jenna Tran,62,High
32,14273,Push,Card true less man parent item.,2024-05-04 04:25:06,Pending,(322)506-0998x4708,Cathy Mckay PhD,15,Medium
