student_id,first_name,last_name,date_of_birth,gender,grade_level,enrollment_date,school_id,guardian_contact,address
1,Mary,Richardson,2015-10-15,Female,2,2023-10-30,38,946.788.6239x240,"814 Kathryn Groves
Whiteheadberg, MP 57841"
2,Christopher,Lozano,2019-12-23,Female,3,2023-12-02,59,(206)706-8536x153,"USNV Moody
FPO AE 05521"
3,Justin,Gallegos,2017-12-04,Male,12,2021-04-06,93,001-377-690-1043x28986,"36971 Mary Parks
Lake Zacharybury, VT 19319"
4,Kelly,Smith,2012-02-01,Female,9,2022-02-16,98,001-262-818-5188,"654 Michael Cliff
Johnville, WI 76772"
5,Jill,Cook,2006-11-02,Male,9,2023-01-29,14,+1-252-677-2217,"54868 King Terrace
West Michael, WI 06766"
6,Michelle,Rivera,2008-03-14,Female,11,2023-03-19,65,(867)465-2775x84161,"15447 Jackson Mills Suite 705
Hillton, CA 88474"
7,Dana,Cox,2019-09-17,Male,3,2021-06-11,48,7298702135,"USS Jacobs
FPO AP 59473"
8,Stacy,Watson,2019-01-24,Male,9,2020-09-25,100,001-228-456-5431,"144 Lewis Ridge Suite 731
Port Charles, HI 94003"
9,Sean,Miller,2017-09-07,Male,10,2022-10-19,42,+1-451-588-4422x58313,"8957 Cheryl Corners
West Raymondfort, NC 54344"
10,Kayla,Morrow,2007-05-04,Female,1,2021-02-23,15,317-478-5289x22680,"3584 John Roads
Davidport, RI 70425"
11,Clarence,Davidson,2016-02-25,Female,5,2025-01-08,31,(229)695-9001,"078 May Hollow Suite 364
Joneston, GA 58120"
12,Robert,Marshall,2011-11-14,Male,4,2021-04-21,73,955-562-5881x53714,"6963 Lisa Ports
Jamesburgh, NM 67967"
13,Steven,Koch,2014-07-18,Male,2,2020-04-12,94,268-673-3950,"8016 Nicole Stream Suite 650
Williamsside, ID 48017"
14,Angela,Jones,2014-08-30,Female,2,2023-11-30,98,001-584-899-1216x55852,"25787 Catherine Passage
West Sarah, MD 21800"
15,Phillip,Jensen,2011-03-05,Male,3,2022-12-11,85,288.979.4705x51694,"097 Alexandria Stravenue
Hernandezbury, AZ 75548"
16,Stacy,Rodriguez,2006-05-28,Female,9,2023-11-01,22,762-963-6897x02838,"78585 Bishop Fields Apt. 484
West Kellie, VT 27669"
17,Hannah,Burns,2014-03-31,Female,9,2023-01-18,78,+1-444-619-8665,"7473 Maria Groves
Derrickshire, IA 32280"
18,Brent,Stein,2009-12-03,Female,4,2022-01-23,70,4168571208,"3454 Rebecca Corners Apt. 802
Khanburgh, PW 05264"
19,Wendy,Sanders,2014-07-06,Male,12,2021-08-31,40,001-940-404-9915x4788,"3152 Wong Stravenue Apt. 054
East Cheryl, SC 53649"
20,Margaret,Robertson,2007-07-23,Female,11,2023-06-29,84,+1-612-227-5304x63745,"301 Parker Lodge Suite 145
East Susan, NJ 20579"
21,Spencer,Zhang,2012-06-09,Female,8,2023-08-14,67,001-387-383-3918x785,"822 Bond Mills
Lake Jamieshire, NM 12420"
22,Rachel,Griffin,2007-01-11,Female,2,2023-12-09,32,(286)879-0874,"391 Rodney Squares
New Virginialand, NJ 04660"
23,Justin,White,2008-05-21,Male,2,2023-08-29,44,(867)466-1825x128,"04786 Morrow Gateway
Reedview, ID 95531"
24,Kathy,Johnson,2017-04-25,Male,10,2023-08-25,71,+1-203-831-1907x903,"28439 Ray Trail
Joelberg, TN 68822"
25,Jeffrey,Turner,2007-02-13,Male,10,2024-10-25,29,001-726-887-0568,"2873 Kevin Station Apt. 708
Faulknerside, NC 18076"
26,Paul,Scott,2011-09-14,Male,2,2020-10-02,91,551.583.0469x901,"0331 Rocha Square Apt. 638
Kimberlyfurt, NH 70447"
27,Deborah,Parker,2012-03-14,Male,4,2024-06-11,9,271.675.3556x0932,"2353 Hudson Gardens Suite 854
Levyfort, NH 22551"
28,Jessica,Bell,2008-06-18,Male,6,2024-09-24,10,428.208.0100x6231,"0997 Smith Place Suite 008
Amandaport, AK 66327"
29,Lisa,Craig,2019-10-19,Male,5,2021-08-09,86,718-623-3984,"6793 Kevin Views
Lake Victoriaton, CO 53621"
30,Nicholas,Tran,2007-01-14,Female,4,2020-02-29,70,001-921-676-5918x033,"489 Harry Vista
Alexisborough, OR 19400"
31,Karen,Marquez,2012-11-09,Male,12,2020-09-26,74,229-339-6856x2185,"9996 Johnson Groves
Henrystad, OH 49708"
32,Ryan,Frazier,2017-04-28,Female,4,2023-04-25,61,494-831-1426,"04754 David Ferry
Coleside, NY 53984"
33,Dakota,Davis,2015-07-06,Female,4,2020-11-15,13,+1-495-860-4661x839,"4721 Ryan Manor Suite 715
Sherylfort, PA 81329"
34,James,Rodriguez,2011-04-08,Male,11,2020-02-21,56,(559)965-7569x2459,"4793 Bennett Viaduct Suite 519
New Wendy, HI 89854"
35,Katrina,Johnson,2018-06-15,Female,7,2024-01-04,53,001-837-841-6724x342,"688 Stephens Turnpike Suite 891
Port Johnstad, GA 85304"
36,Cheyenne,Hart,2017-01-21,Female,12,2023-06-25,7,001-956-710-1438x88993,"0714 Knapp Corner
Port Sheliaberg, MI 41381"
37,Matthew,Mueller,2014-12-13,Male,1,2024-03-10,52,(371)477-5140x105,"USNS Black
FPO AP 21490"
38,Mark,Simmons,2013-12-11,Female,2,2022-01-20,32,(522)566-0937x9660,"182 Nguyen Mount
West Emilyfort, NC 84270"
39,Lawrence,Price,2012-10-05,Male,4,2025-01-27,69,355-479-2499,"1252 Barnes Dam
Hendersonfort, SC 70936"
40,Heather,Brewer,2009-01-11,Female,3,2024-10-20,55,(774)222-5790,"8876 Perry Ville
Burnsland, OK 04545"
41,Laura,Walker,2006-08-22,Male,5,2022-06-02,60,384.327.9788,"078 Veronica Cove Apt. 407
Michaelland, NV 15887"
