attendance_id,student_id,date_attended,status,subject_id,school_id,recorded_by,recorded_time,teacher_id,remarks
1,6712,20-03-2024,Absent,466,95,Martin Chambers DDS,10-10-2024 12:44,338,Financial usually develop man increase discuss pull.
2,9871,25-01-2025,Present,317,64,Krystal Grant,19-11-2024 04:55,53,Consumer cultural control involve deep everything seat.
3,5879,25-10-2024,Absent,437,10,Todd Mcdaniel,28-06-2024 10:47,133,Five present movement far thus across door.
4,578,15-11-2024,Present,244,6,John Gonzalez,20-06-2024 04:54,52,Heart large phone amount.
5,7115,18-03-2024,Absent,69,96,Alison Hickman,29-01-2025 01:18,861,Race black factor speech arm.
6,5458,26-05-2024,Present,298,17,Mark Smith,10-01-2025 13:56,421,Raise above knowledge court either positive significant.
7,8007,11-07-2024,Absent,188,39,Jason Norman,30-11-2024 13:30,903,Do when through player sure pretty home.
8,16401,16-06-2024,Present,472,50,Natalie Diaz,13-10-2024 12:59,257,Use boy reach wind couple involve reflect.
9,2879,24-06-2024,Absent,228,89,Karen Black,20-05-2024 08:51,227,Suggest quickly process skin but practice.
10,7857,15-07-2024,Absent,83,5,Terri Hill,13-10-2024 11:29,861,Realize fill natural who drop.
11,2285,24-07-2024,Present,438,10,Holly Walker,24-05-2024 22:55,700,Fill this despite something right.
12,7074,15-05-2024,Absent,272,85,Marie Barker,07-12-2024 04:15,607,Success with group four daughter listen thus.
13,1335,22-03-2024,Absent,228,10,Rebecca Reese,04-09-2024 21:38,320,College car spring at offer free area.
14,8648,25-03-2024,Absent,92,59,Charles Roth,24-08-2024 04:17,614,Never onto floor a series.
15,1635,08-10-2024,Present,94,81,Pamela Booth,27-10-2024 17:46,526,Act hot question company.
16,12118,19-09-2024,Present,419,40,Jordan Parker,29-10-2024 06:07,10,Identify agreement rise.
17,10891,30-08-2024,Present,442,23,Amanda Scott,26-09-2024 00:49,125,Necessary place strong state surface.
18,2724,01-07-2024,Present,240,85,Natalie King,20-08-2024 07:47,152,Especially name foot detail security.
19,12164,21-10-2024,Absent,291,85,Scott Phillips,19-12-2024 01:24,560,Listen establish risk sea tend much audience.
20,1931,01-10-2024,Absent,369,54,John Rosales,16-07-2024 19:32,981,Factor least game outside wall grow full.
21,18349,10-08-2024,Absent,402,64,Christopher Carlson,28-11-2024 07:43,217,Debate free not.
22,11321,16-06-2024,Absent,141,42,Rebecca Robinson,03-06-2024 08:44,255,Back structure already choice baby so product.
23,2555,19-09-2024,Absent,160,18,Christina Patterson,29-10-2024 11:19,374,Every team up soon try language.
24,13348,07-03-2024,Present,463,78,Matthew Brooks,11-01-2025 19:54,922,Question forward history summer choose thing receive.
25,6064,14-11-2024,Absent,341,31,Christine Reynolds,01-03-2024 01:26,443,Clear experience bring including sure American.
26,2083,06-10-2024,Present,458,86,Nicholas Hines,20-06-2024 19:13,808,Social none let store left drop local.
27,15293,29-09-2024,Absent,424,94,George Russell,25-11-2024 08:54,890,Current region couple who value red clearly popular.
28,7439,24-01-2025,Present,350,57,Melissa Friedman,22-11-2024 03:36,235,Lead democratic capital respond investment.
29,3429,26-03-2024,Absent,324,4,Henry Bradford,10-03-2024 00:06,543,Role page property opportunity bill attorney product.
30,965,26-10-2024,Absent,4,67,Michael Ibarra,12-07-2024 03:22,520,Hear second notice practice sport measure.
31,9727,23-08-2024,Absent,189,37,Allison Johnson,15-03-2024 20:06,643,International edge report nearly fear feeling.
32,6130,04-02-2024,Present,113,94,Steven Powell,26-02-2024 23:02,684,Find along moment include.
33,19000,09-10-2024,Present,415,84,Megan Armstrong,17-07-2024 21:10,584,Evening produce to do issue.
34,763,22-02-2024,Absent,210,65,Jacqueline Hall,11-02-2024 17:21,165,Quite style usually environmental.
35,9158,21-03-2024,Present,234,30,Melissa Jones,19-06-2024 22:37,390,Early foot later cell.
36,7065,15-03-2024,Present,82,40,Christina Davies,15-08-2024 05:31,621,Little usually free.
37,7684,09-01-2025,Present,53,91,Keith Thompson,02-03-2024 20:43,524,Yourself character camera amount billion.
38,18285,08-06-2024,Absent,487,84,April Contreras,06-05-2024 14:20,118,Bill citizen common baby.
39,3762,23-05-2024,Present,369,32,Dr. Joseph Neal DDS,25-03-2024 12:40,625,Son weight national message however step quality.
40,3986,15-12-2024,Present,272,87,Charles Walker,27-10-2024 19:34,314,Sister matter draw begin perhaps.
41,18009,10-03-2024,Absent,184,73,Shane Rodriguez,30-05-2024 16:13,278,Month training agreement some something doctor door.
42,10136,31-05-2024,Absent,324,7,Kaitlyn Hanson,16-01-2025 15:41,134,Deal that show mind.
43,15320,10-08-2024,Present,181,98,Brianna Hoffman,08-08-2024 18:03,722,Little pattern reveal hundred those force bar condition.
44,9737,24-01-2025,Present,312,99,Helen Cohen,30-12-2024 05:15,837,Partner operation strategy draw should trade health.
45,17932,29-03-2024,Present,368,48,William Ellis,11-03-2024 21:49,668,Could fear Democrat plant city customer week.
46,13508,12-10-2024,Present,407,44,Matthew Cooper,26-05-2024 15:41,992,Go unit hope wife strong.
47,2785,29-12-2024,Present,107,16,Brandon Holder,12-09-2024 14:39,269,Some end quite mother property.
48,9897,18-07-2024,Present,340,55,Paula Martin,21-03-2024 19:22,869,Southern gas smile late.
49,16088,22-02-2024,Present,390,55,Amanda Guerrero,12-04-2024 04:31,226,Role process various during quality arrive.
50,2137,23-03-2024,Absent,123,24,George Bowman,15-06-2024 22:05,449,Finally next suffer accept feel.
51,9699,25-11-2024,Absent,314,57,Alicia Black,23-05-2024 02:06,87,Second his billion particularly manage fish.
52,18985,28-10-2024,Absent,182,54,Eric Khan,17-07-2024 20:56,994,Answer change example west its.
53,5192,13-05-2024,Absent,221,94,John Marks,14-09-2024 01:15,225,Get cultural second station condition second.
54,14298,08-06-2024,Present,217,53,Regina Cooper,05-03-2024 16:51,199,Long same whatever.
55,2311,07-03-2024,Absent,261,52,Alisha Mitchell,17-09-2024 04:30,269,Know pattern pay sea.
56,10072,20-12-2024,Absent,373,98,Julia Fischer,08-09-2024 03:43,590,Work book fund even share report media performance.
57,11629,09-12-2024,Present,232,91,Abigail Horn,24-04-2024 04:53,730,Threat girl kitchen.
58,10864,19-08-2024,Present,163,12,Sandra Smith,12-06-2024 05:49,354,Bag perform upon past them.
59,6502,10-07-2024,Absent,9,13,John Shepard,05-02-2024 04:53,18,Book design PM performance lawyer who herself operation.
60,9858,15-12-2024,Present,286,37,Patrick Osborne,11-10-2024 01:41,12,Investment catch player although positive institution result.
61,13008,19-03-2024,Absent,303,41,Jennifer Clark,24-01-2025 02:32,283,Management focus bank site teach party.
62,9859,26-08-2024,Absent,464,3,Tammy Rodriguez,29-05-2024 00:47,780,Help operation grow hold next leader who.
63,10415,21-05-2024,Present,278,77,Chad Brown Jr.,24-09-2024 01:19,720,Four special class voice.
64,12999,30-07-2024,Absent,314,10,Ronald Parsons,06-08-2024 09:27,253,Light left own.
65,4463,07-05-2024,Absent,263,35,Elaine Newton,28-02-2024 05:10,829,Technology health test eat night.
66,12160,31-08-2024,Present,424,97,Reginald Wright,22-09-2024 08:18,202,Brother blood fire daughter time major choice fact.
67,756,14-05-2024,Present,306,2,Shane Carrillo,30-09-2024 12:04,391,Significant measure picture company drug federal character.
68,16902,17-04-2024,Present,82,56,Katherine Peck,18-03-2024 06:05,683,Sign hair try design.
69,8704,10-08-2024,Present,329,49,Kimberly Mcbride,07-05-2024 19:02,45,Democrat responsibility forward crime safe keep.
70,9649,12-01-2025,Absent,175,94,Lindsay Rubio,18-07-2024 22:15,42,Forward yes resource right.
71,12780,05-12-2024,Absent,424,79,Mrs. Alexandra Black,03-12-2024 15:57,967,Glass suggest something away next special value.
72,12469,27-05-2024,Present,292,65,Crystal Jensen,21-03-2024 12:35,124,Clearly bed around sister protect program agency show.
73,944,29-11-2024,Present,201,72,Rachael Juarez,07-05-2024 11:34,184,Claim difference go keep high.
74,7073,08-03-2024,Present,131,97,Melanie Lewis,16-02-2024 17:39,498,Exactly activity lead only approach individual man.
75,4579,23-08-2024,Present,134,24,Kevin Newman,07-01-2025 21:56,170,Particular amount with.
76,12681,13-02-2024,Absent,117,13,Sean Burton,17-09-2024 09:37,803,Whom prove month beautiful.
77,13860,17-01-2025,Absent,279,100,Lisa Johnson,03-06-2024 22:28,117,Young team check authority door.
78,11995,27-08-2024,Present,70,17,Sara Munoz,31-10-2024 07:47,136,Matter notice tend budget either.
79,2999,08-03-2024,Absent,119,17,Charles Bennett,26-03-2024 07:06,355,Cell morning and human toward.
80,8193,15-08-2024,Present,289,74,Zachary Smith,06-08-2024 05:33,329,Financial while either many.
81,17558,17-07-2024,Present,303,36,Jacqueline Chang,19-03-2024 11:53,384,Group body free appear century.
82,4759,01-10-2024,Present,71,51,Maria Farley,21-02-2024 02:06,66,Than year market property inside.
83,8859,24-05-2024,Present,126,53,Timothy Osborne,17-04-2024 02:00,229,Truth middle network guy program risk great.
84,3692,04-02-2024,Present,276,84,Kenneth Thompson,16-10-2024 15:14,7,Outside good daughter toward do form seek lot.
85,18014,16-09-2024,Present,481,74,Rachel Fox,21-12-2024 00:53,463,Political hit later shake color.
86,3219,03-06-2024,Present,200,86,Jennifer Preston,30-08-2024 15:01,11,Chance describe Congress international city Democrat.
87,9775,13-07-2024,Present,52,35,Evelyn Harvey,22-01-2025 06:38,166,Fish then finally.
88,11056,03-06-2024,Present,166,87,Patrick Roberts DVM,22-05-2024 14:15,42,Statement general enter.
89,3820,19-05-2024,Present,24,10,Donald Carpenter,06-06-2024 06:07,853,Free rise wind possible nor employee.
90,3880,19-02-2024,Present,47,53,Karen Sanford,27-03-2024 05:59,397,Dinner your agreement physical line bit.
91,2691,12-02-2024,Absent,311,3,Kimberly Meza,02-09-2024 19:18,482,Tonight right affect less good.
92,1838,28-10-2024,Present,351,25,Holly Ray,26-06-2024 01:46,582,Coach ball spend Mr player.
93,15648,11-03-2024,Absent,185,10,Mr. Chad Park,13-12-2024 19:10,93,Billion change family person her artist.
94,12367,29-10-2024,Absent,41,20,Brandon Patel,17-02-2024 06:31,778,Thus ahead door despite so produce.
95,6013,13-02-2024,Absent,437,10,Maria Perry,17-08-2024 13:18,862,Vote trouble book example large among foreign.
96,3682,09-06-2024,Present,348,19,Oscar Reese,03-05-2024 19:56,877,Congress present blood summer sure interest pay.
97,9099,14-05-2024,Absent,219,43,Sheri Brock,20-09-2024 07:46,553,Control instead in keep quality might.
98,172,27-04-2024,Present,352,8,Gregory Davis,29-10-2024 08:51,189,Long support the citizen strategy make enter turn.
99,5579,27-03-2024,Present,378,7,Michael Mcintosh,26-11-2024 22:02,670,Standard far hold good.
100,2027,14-06-2024,Absent,288,68,Charles Kemp,09-05-2024 13:45,494,Market factor friend have.
101,9265,26-12-2024,Absent,330,86,Karen Harrison,14-10-2024 06:47,91,Pm public need culture realize.
102,19134,07-07-2024,Present,484,50,Justin Page,06-11-2024 01:46,154,Evening happen budget art yard.
103,8637,13-07-2024,Present,246,58,Shannon Montoya,24-03-2024 03:51,423,Middle expert wide discuss north might.
104,7755,30-11-2024,Present,137,61,Gail Miller,01-02-2024 20:54,572,Wonder base wide game let task lose.
105,12224,26-05-2024,Absent,304,40,Nicole Williams,17-10-2024 00:38,778,Point result night them support.
106,1677,15-01-2025,Absent,475,83,Anthony Smith,12-08-2024 01:03,449,New peace loss learn student.
107,9461,12-08-2024,Absent,387,37,David Flores,23-06-2024 09:15,71,Seem next total blood.
108,18349,30-04-2024,Absent,62,68,Miguel Reese MD,09-01-2025 04:15,847,Interest area everybody.
109,19188,29-01-2025,Present,127,39,Lisa Thompson,17-07-2024 00:29,997,Marriage program mind too.
110,9498,08-03-2024,Absent,36,82,Kimberly Mcguire,24-01-2025 17:52,77,Push write minute officer.
111,16596,25-01-2025,Absent,331,49,Kaitlin Ballard,29-05-2024 00:31,914,Think office view enter little north feel energy.
112,11298,02-08-2024,Present,470,25,Joel Fletcher,13-07-2024 13:27,82,According sing discussion to personal.
113,17053,02-07-2024,Absent,429,16,Jacqueline Meyers,29-11-2024 18:26,917,Expert pretty up outside impact who various risk.
114,16747,30-10-2024,Present,484,30,Jacob Smith,24-06-2024 04:24,429,Tv between it take.
115,13217,06-06-2024,Absent,380,82,Susan Cook,07-08-2024 12:40,709,Foreign suddenly education nearly gas dark buy.
116,9542,07-04-2024,Absent,91,22,Jaime Day,10-07-2024 08:20,565,Guess should recent finish husband wrong want success.
117,13892,11-03-2024,Absent,169,48,William Simmons,30-07-2024 09:48,494,Subject major computer city bit environment.
118,11578,10-02-2024,Absent,236,19,Cynthia Orozco,27-05-2024 18:01,927,Model president ready low finish yet.
119,14494,24-03-2024,Present,457,74,Dawn Cook,10-03-2024 08:46,3,Represent pretty those edge it game step.
